;Region;Country_code;Name;Substance;Year;CO2_emissions
0;Central Europe;ALB;Albania;CO2;1970;4844.988068
1;OECD_Europe;AUT;Austria;CO2;1970;52967.21273
2;OECD_Europe;BEL;Belgium;CO2;1970;139256.7317
3;Central Europe;BGR;Bulgaria;CO2;1970;69062.94448
4;Central Europe;BIH;Bosnia and Herzegovina;CO2;1970;11536.43815
5;OECD_Europe;CHE;Switzerland;CO2;1970;41453.34559
6;Central Europe;CYP;Cyprus;CO2;1970;2167.528941
7;Central Europe;CZE;Czech Republic;CO2;1970;188286.1138
8;OECD_Europe;DEU;Germany;CO2;1970;1084657.531
9;OECD_Europe;DNK;Denmark;CO2;1970;61953.38088
10;OECD_Europe;ESP;Spain;CO2;1970;144262.7982
11;Central Europe;EST;Estonia;CO2;1970;21264.05636
12;OECD_Europe;FIN;Finland;CO2;1970;41242.20898
13;OECD_Europe;FRA;France;CO2;1970;469441.3568
14;OECD_Europe;GBR;United Kingdom;CO2;1970;673420.1505
15;OECD_Europe;GRC;Greece;CO2;1970;28858.05745
16;Central Europe;HRV;Croatia;CO2;1970;21812.449
17;Central Europe;HUN;Hungary;CO2;1970;66272.67589
18;OECD_Europe;IRL;Ireland;CO2;1970;20659.53828
19;OECD_Europe;ISL;Iceland;CO2;1970;1934.935926
20;OECD_Europe;ITA;Italy;CO2;1970;314930.743
21;Central Europe;LTU;Lithuania;CO2;1970;19927.6885
22;OECD_Europe;LUX;Luxembourg;CO2;1970;19680.12287
23;Central Europe;LVA;Latvia;CO2;1970;11339.69401
24;Central Europe;MKD;North Macedonia;CO2;1970;9101.273488
25;Central Europe;MLT;Malta;CO2;1970;682.873314
26;OECD_Europe;NLD;Netherlands;CO2;1970;134198.9591
27;OECD_Europe;NOR;Norway;CO2;1970;35961.90947
28;Central Europe;POL;Poland;CO2;1970;309121.845
29;OECD_Europe;PRT;Portugal;CO2;1970;16640.51237
30;Central Europe;ROU;Romania;CO2;1970;126868.5624
31;Central Europe;SVK;Slovakia;CO2;1970;43882.34171
32;Central Europe;SVN;Slovenia;CO2;1970;10433.80455
33;OECD_Europe;SWE;Sweden;CO2;1970;96172.08919
34;Russia +;RUS;Russia;CO2;1970;1307991.798
35;Ukraine +;UKR;Ukraine;CO2;1970;477224.2286
