Region,Country_code,Name,Sector,Substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Rest Central America,ABW,Aruba,Public electricity and heat production,CO2,17.34370569,19.87752332,29.33004616,31.21417951,30.11478687,43.02536936,39.92535032,47.90253655,49.8499968,50.90531093,54.05013989,54.59830731,53.64956229,52.59163821,62.46627038,65.63341208,71.02129008,80.92642138,88.86690541,119.9157996,109.1001813,118.3157918,135.8192387,136.0763752,155.4128501,170.6325586,112.4534327,183.8137601,186.21251,186.2167497,143.5935666,146.6161929,156.3418416,186.0260706,192.4170066,212.7615561,235.9029001,258.8882187,256.2908392,272.5106604,254.0581558,156.2532536,197.6464697,213.8520991,222.2380261,230.102165,240.8079339,223.4325492,226.3412257,268.0309849,232.9232663,253.0103102,251.2783592,263.5065696
Rest Central America,ABW,Aruba,Manufacturing Industries and Construction,CO2,0.193086777,0.221295666,0.279980895,0.260093817,0.323791717,0.395529839,0.473103589,0.532382596,0.596946042,0.581730403,0.798868312,1.002836107,0.834340832,1.078149827,1.194303003,1.415065636,2.37035985,2.420100494,2.327186895,3.996792518,9.382780248,9.689726387,8.70431484,7.957792627,8.663624013,10.12309889,6.466202909,9.586864397,9.740738137,10.4161617,6.679240945,7.833920903,18.4734158,17.96366762,16.96868831,15.39031177,14.59878673,14.03884476,11.03210592,13.63936078,14.75604983,10.14212973,18.07784552,19.95413924,22.20846259,24.21538335,21.72801121,33.27672574,28.19927457,29.31979936,26.56246163,34.20863275,33.97446175,35.627795
Rest Central America,ABW,Aruba,Domestic aviation,CO2,0.754305502,0.864505284,0.511095995,0.603383602,0.834829551,0.849693368,1.037875012,1.069749538,1.276501563,1.27838238,1.387468546,1.53482423,1.637470727,1.596710742,1.514589683,2.509306104,2.608953139,3.209448772,3.215710612,5.644109576,6.792255841,8.148331125,8.03543646,7.282571685,10.24495055,11.92244927,8.739015654,17.68690278,14.9517527,15.69000107,15.03903625,11.68396409,11.76347363,12.94325827,13.06254611,14.25945339,14.39154673,15.74046105,16.56882933,14.95783271,14.25047239,14.10148801,14.21077027,17.30308902,18.42935441,18.90072327,18.98639294,19.69031326,16.58486033,25.49294088,11.21676226,12.47323689,17.61512024,20.65936599
Rest Central America,ABW,Aruba,Road transportation no resuspension,CO2,1.04072023,1.192763589,1.360877144,1.700967575,2.126094263,3.406415633,3.913081972,4.426321836,4.877983542,4.436644286,7.312537775,7.973078527,8.893863647,10.11059162,11.9334396,11.76528686,13.51427579,15.17290705,16.68862584,23.67183278,48.36909004,56.23061671,64.89198829,67.03722934,75.61715605,83.18696667,54.19567626,92.36023625,100.0356877,103.1795626,80.93715572,82.40694257,86.27068733,96.78556982,97.38121619,110.1709376,123.0436171,132.6543004,134.7378846,150.7115119,156.316696,82.77669051,104.6960953,114.8211851,126.4152523,135.2387802,140.1771054,135.4297288,136.2249665,165.1255209,128.3983932,143.1074359,142.1278115,149.0443195
Rest Central America,ABW,Aruba,Inland navigation,CO2,,,,,,,,,,,,,,,,,,,0.046508071,0.059090579,2.079711894,2.371700539,1.898306582,2.719605702,2.733751827,2.873713549,1.841948969,2.794007691,2.661680765,2.784694845,2.116664428,2.157804091,2.374807389,2.79541458,3.090481818,3.601218241,4.604797528,4.128729922,4.175102607,4.179650881,4.116289219,3.174997013,7.384872312,8.233904076,9.191438608,9.637072508,10.20968117,9.763252728,9.615795446,11.38299347,9.866185677,10.69681098,10.87634667,12.16021953
Rest Central America,ABW,Aruba,Other transportation,CO2,,,,,,,,,,,,0.063634731,0.067890516,0.113175702,0.162181905,0.169441177,0.17641536,0.274558465,0.186032285,0.236362318,4.027929659,4.328571678,5.104455921,5.133492561,5.71901955,6.384018865,4.406756956,6.925277692,7.300431704,7.288599396,1.491652523,1.911520819,2.277100568,3.025976729,3.159084275,3.399512372,3.876777866,4.58985213,4.627072651,6.365599112,4.606115557,4.184168911,5.614639404,6.026068956,6.147604986,5.389204354,5.476591479,4.11115611,4.359004657,4.370133137,4.236742616,4.316220845,4.286674686,4.495281428
Rest Central America,ABW,Aruba,Residential and other sectors,CO2,5.368535226,6.152847957,7.462772953,9.964323462,9.513210581,9.136943696,10.47192874,12.55160207,14.70674769,18.06950856,15.55991075,17.05026682,16.03502385,18.16319662,20.56113522,21.79127429,23.24139756,25.80375631,30.70387806,42.98521294,20.19557807,26.06561553,25.01536804,23.97494958,25.91769537,27.83123578,17.33239263,28.26705725,28.64471919,28.53398401,17.45949959,17.55814776,17.75010773,21.03444413,21.43787481,23.63209119,25.51720217,25.67986963,24.78196198,28.33611649,31.15203286,18.04353123,25.27109117,30.06284513,33.92545135,36.35184512,45.24994168,38.72107552,42.42438057,51.83597044,38.02213144,41.40733674,41.12388791,43.12514084
Rest Central America,ABW,Aruba,Fugitive emissions from gaseous fuels,CO2,,,,,,,,,,,,,,,,,,,,,,0.032482977,,,,,,,,,,,,,,,,,,,0.979402892,,,,,,,,,,,,,
Rest Central America,ABW,Aruba,Fugitive emissions from oil and gas,CO2,2.01E-05,2.30E-05,2.53E-05,3.59E-05,3.12E-05,2.49E-05,2.94E-05,4.86E-05,3.43E-05,3.49E-05,4.41E-05,3.65E-05,4.32E-05,3.86E-05,3.31E-05,9.00E-06,3.67E-06,4.94E-06,4.77E-06,6.29E-06,7.90E-06,0.003979102,6.48E-05,7.88E-05,9.85E-05,9.82E-05,8.20E-05,0.000123865,0.000108141,0.000135575,0.099923642,0.099880639,0.133042098,0.106082487,0.107054033,0.106482726,0.151026108,0.182189955,0.188619948,0.215040665,0.189281745,0.18438873,0.053599321,,,,,,,,,,,
Rest Central America,ABW,Aruba,Soda ash production and use,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000083,0.000008715,0.000009296,0.000009877,0.000010458,0.000011039,0.00001162,0.000115785,0.00001411,0.000017845,0.000146495,0.000173586,0.000205687,0.000243725,0.000289648
Rest Central America,ABW,Aruba,Production of other minerals,CO2,0.00295325,0.0029719,0.00299245,0.00301195,0.00302625,0.00303275,0.00302945,0.0030183,0.0030053,0.0029989,0.0030048,0.00302835,0.0030672,0.0031102,0.00314155,0.0031514,0.0031322,0.00309175,0.00305385,0.0030516,0.0031074,0.00323115,0.00341175,0.0036249,0.003835,0.0040163,0.00415975,0.00427235,0.0043638,0.0044502,0.0045429,0.0046447,0.00474975,0.00485075,0.0049371,0.00500155,0.0050415,0.0050609,0.0050671,0.0050708,0.00507985,0.0050968,0.00511965,0.005113807,0.005142602,0.00517156,0.005189903,0.00520831,0.005226782,0.005249377,0.005270732,0.005292174,0.005313703,0.005334782
Rest Central America,ABW,Aruba,Non-energy use of lubricants/waxes (CO2),CO2,0.007065938,0.008098232,0.012171722,0.027086988,0.033554172,0.056980494,0.074991368,0.090286245,0.101839777,0.119493044,0.132720316,0.134693743,0.163297542,0.225037118,0.20285059,0.293441808,0.246113209,0.325796064,0.250580274,0.341114377,0.323322213,0.447726814,0.459820311,0.514585819,0.581011272,0.490069336,0.35949533,0.528503236,0.575659571,0.600627324,0.344436711,0.367823568,0.335930405,0.38818151,0.394304061,0.635978875,0.706724817,0.726874803,0.677649083,0.902802264,0.849254609,0.376705311,0.948335265,1.091710931,1.162770858,1.211065744,1.264259113,1.168958354,1.124543543,1.342801594,1.153114937,1.240332524,1.235547206,1.23078035
Rest Central America,ABW,Aruba,Solvent and other product use: paint,CO2,0.4101328,0.4138442,0.417615,0.4211768,0.4241754,0.4264062,0.4277218,0.4283268,0.4288108,0.4299746,0.4323594,0.4365042,0.442255,0.448668,0.4543616,0.4585284,0.4603478,0.4605656,0.4616986,0.4672822,0.4796,0.4998312,0.5266162,0.5566506,0.5852044,0.6088742,0.6264346,0.6388954,0.6478956,0.6560422,0.6652316,0.6758708,0.6872404,0.6987266,0.7093658,0.7184892,0.7283705,0.73787285,0.747564675,0.757161763,0.76675885,0.776355938,0.785953025,0.793630695,0.801308365,0.808986035,0.817431472,0.825965075,0.834587766,0.84277918,,,,
Rest Central America,ABW,Aruba,Solvent and other product use: degrease,CO2,0.001279484,0.001287651,0.001296316,0.001305046,0.00131122,0.001314015,0.001312477,0.001307711,0.001302014,0.001299349,0.001301862,0.001312065,0.001328919,0.001347463,0.001361219,0.001365335,0.001357059,0.001339491,0.001323157,0.001322139,0.001346336,0.001399909,0.001478178,0.001570657,0.001661555,0.001740062,0.001802365,0.001851128,0.001890685,0.001928119,0.001968152,0.002012453,0.002057815,0.002101683,0.002138944,0.002166976,0.002184328,0.002192733,0.002195614,0.00219778,0.00220246,0.002210778,0.00222213,0.002235344,0.002248515,0.002260343,0.002270763,0.002280338,0.002289133,0.00229743,0.002305771,0.002317945,0.002317945,0.002339608
