;year;CO2_emissions;Name
0;2024;3993.3585429068007;Albania
1;2025;4076.4697826026913;Albania
2;2026;4748.555345029107;Albania
3;2027;5194.963568401776;Albania
4;2028;5525.749147126828;Albania
5;2029;5697.515900030242;Albania
6;2030;5624.274997289143;Albania
7;2024;55556.90101769214;Austria
8;2025;57055.17931456941;Austria
9;2026;53682.99855437433;Austria
10;2027;56844.856748201135;Austria
11;2028;55511.69988418472;Austria
12;2029;57930.18896119438;Austria
13;2030;57051.5653631479;Austria
14;2024;81490.16350704063;Belgium
15;2025;84523.92230375092;Belgium
16;2026;75865.32184697878;Belgium
17;2027;82558.07984243489;Belgium
18;2028;79787.48582934776;Belgium
19;2029;79567.9698143571;Belgium
20;2030;77759.91202952866;Belgium
21;2024;35246.683929377854;Bulgaria
22;2025;31971.609982219397;Bulgaria
23;2026;33075.735307995434;Bulgaria
24;2027;34265.89516694426;Bulgaria
25;2028;32410.75019202462;Bulgaria
26;2029;33047.742266206464;Bulgaria
27;2030;35423.08817095273;Bulgaria
28;2024;21564.194185119246;Bosnia and Herzegovina
29;2025;21533.450359704584;Bosnia and Herzegovina
30;2026;21681.453560494665;Bosnia and Herzegovina
31;2027;21561.980066784658;Bosnia and Herzegovina
32;2028;21547.081953941444;Bosnia and Herzegovina
33;2029;21690.223540588722;Bosnia and Herzegovina
34;2030;22013.52568565149;Bosnia and Herzegovina
35;2024;34758.40521861577;Switzerland
36;2025;35835.073805320244;Switzerland
37;2026;32850.59813572143;Switzerland
38;2027;32431.1235758928;Switzerland
39;2028;32856.6313553109;Switzerland
40;2029;32027.98367370348;Switzerland
41;2030;32246.365970203926;Switzerland
42;2024;7147.294640318181;Cyprus
43;2025;6928.206297053826;Cyprus
44;2026;7177.550037998025;Cyprus
45;2027;7556.748408811801;Cyprus
46;2028;7733.7704825872825;Cyprus
47;2029;7855.372922841185;Cyprus
48;2030;7914.171419265173;Cyprus
49;2024;87103.70393932867;Czech Republic
50;2025;82840.19684067224;Czech Republic
51;2026;80159.30682262355;Czech Republic
52;2027;80353.6313519811;Czech Republic
53;2028;81026.57363678541;Czech Republic
54;2029;80767.8160392633;Czech Republic
55;2030;85336.68806265201;Czech Republic
56;2024;589221.2555096552;Germany
57;2025;598228.2939288289;Germany
58;2026;560527.2058266638;Germany
59;2027;566710.4061708245;Germany
60;2028;567263.900906191;Germany
61;2029;554767.6629375558;Germany
62;2030;553677.8045363432;Germany
63;2024;23818.73381242666;Denmark
64;2025;24483.467999246957;Denmark
65;2026;22054.14827148993;Denmark
66;2027;22937.340090692458;Denmark
67;2028;22613.01987282301;Denmark
68;2029;20503.201781627155;Denmark
69;2030;25955.6331914638;Denmark
70;2024;216402.78875733737;Spain
71;2025;199560.35808127094;Spain
72;2026;201405.7096627067;Spain
73;2027;213569.80542738442;Spain
74;2028;212542.62576700226;Spain
75;2029;223680.90122203203;Spain
76;2030;218733.50892324693;Spain
77;2024;10972.476614949845;Estonia
78;2025;11294.748359930163;Estonia
79;2026;12266.651160780551;Estonia
80;2027;11440.390939426557;Estonia
81;2028;9914.080089330302;Estonia
82;2029;9523.550953609123;Estonia
83;2030;12857.653543865208;Estonia
84;2024;29935.159964679242;Finland
85;2025;32347.209099593703;Finland
86;2026;32949.20825665498;Finland
87;2027;34025.86781522351;Finland
88;2028;33572.38890854946;Finland
89;2029;27991.484165783273;Finland
90;2030;34732.5282047236;Finland
91;2024;283880.429808655;France
92;2025;278599.2429127859;France
93;2026;250799.44299217983;France
94;2027;254698.00469688768;France
95;2028;254467.76348800486;France
96;2029;253371.9179418;France
97;2030;255682.6454305329;France
98;2024;324987.3072345225;United Kingdom
99;2025;309136.3428766076;United Kingdom
100;2026;278558.60751588125;United Kingdom
101;2027;264275.2347789145;United Kingdom
102;2028;246535.02788073555;United Kingdom
103;2029;232590.61993640888;United Kingdom
104;2030;241356.2508136045;United Kingdom
105;2024;49713.43673509388;Greece
106;2025;45110.33036486724;Greece
107;2026;42796.247799121666;Greece
108;2027;41634.24784680832;Greece
109;2028;39962.98883617027;Greece
110;2029;39287.82727150307;Greece
111;2030;40087.65565803793;Greece
112;2024;17017.70370775761;Croatia
113;2025;16772.182073234602;Croatia
114;2026;15642.75566637043;Croatia
115;2027;15330.26989645562;Croatia
116;2028;14815.477694814295;Croatia
